ID,Parent Id,Name,Has Page Title,Has Meta Description,Has Content,Description 301s,#Desc. 301s,Description 404s,#Des. 404s,Is Visible,Has Banner,No. of live banners,Contains Redirects,Contains Broken Links,No. of Redirected URLs,No. of Broken URLs,Products,Products In Stock,301 URLs,404 URLs,Page Title,Page Title Length,Meta Description,Meta Description Length,URL,Meta Keywords,Search Keywords
1096,0,Wholesale,TRUE,FALSE,FALSE,[],0,[],0,FALSE,FALSE,0,FALSE,FALSE,0,0,0,0,[],[],Wholesale,9,,0,https://www.inhealth.ie/wholesale-1/,,
1098,1059,Baby Bedroom Lights & Accessories,TRUE,FALSE,TRUE,[],0,[],0,FALSE,FALSE,0,FALSE,FALSE,0,0,3,1,[],[],Baby Bedroom Accessories,24,,0,https://www.inhealth.ie/baby-bedroom-lights-accessories/,,
1102,971,Condoms & Sexual Health,TRUE,TRUE,FALSE,[],0,[],0,TRUE,TRUE,1,FALSE,FALSE,0,0,29,23,"[{""Banner Id"":242,""301 URLs"":[]}]","[{""Banner Id"":242,""404 URLs"":[]}]",Condoms & Sexual Health: Ensuring Ultimate Pleasure & Safety ,61,Sexual health is about ensuring pleasure & safety at all times. Protect yourself from STIs and unplanned pregnancy with our range of Durex Condoms & Accessories,160,https://www.inhealth.ie/condoms-sexual-health/,Condoms & Sexual Health,Condoms & Sexual Health
1113,975,Stair Gate Extensions,TRUE,TRUE,FALSE,[],0,[],0,TRUE,TRUE,1,TRUE,FALSE,1,0,18,12,"[{""Banner Id"":292,""301 URLs"":[""https://www.inhealth.ie/dreambaby-retractable-stair-gate/""]}]","[{""Banner Id"":292,""404 URLs"":[]}]",Stair Gate Extensions: Shop Safety Gate Extensions Online,57,Stair Gate Extensions are a great solution to ensure that larger spaces or doorway can be well secured and baby proofed. We stock a wide variety of stair gate extension to meet all your space requirements,204,https://www.inhealth.ie/stair-gate-extensions/,,
1114,1471,Cots & Cribs,TRUE,TRUE,FALSE,[],0,[],0,TRUE,TRUE,1,TRUE,FALSE,1,0,42,19,"[{""Banner Id"":299,""301 URLs"":[""https://www.inhealth.ie/chicco-next2me-bedside-crib-dove-grey-free-sheet-grobag/""]}]","[{""Banner Id"":299,""404 URLs"":[]}]","Baby Cots, Cribs & Accessories: Cots, Travel Cribs & Bedding",60,Our range of baby cots and travel cribs are sure to keep your little one cosy through the night. Browse our baby bedding and mattresses for ultimate comfort!,157,https://www.inhealth.ie/cots-cribs/,Cots & Cribs,Cots & Cribs
1117,971,Tena (Continence Care),TRUE,TRUE,FALSE,[],0,[],0,FALSE,FALSE,0,FALSE,FALSE,0,0,8,0,[],[],Tena (Continence Care),22,Shop Our Continence Care Products Now! Best Price and Next Day Delivery Ireland. Order Online Today!,100,https://www.inhealth.ie/tena-continence-care/,Tena (Continence Care),Tena (Continence Care)
1118,970,Room Dividers & Configuration Gates,TRUE,TRUE,FALSE,[],0,[],0,TRUE,TRUE,1,FALSE,FALSE,0,0,29,18,"[{""Banner Id"":259,""301 URLs"":[]}]","[{""Banner Id"":259,""404 URLs"":[]}]",Baby Room Dividers : Shop Configuration Gates and Baby Fence,60,Baby room dividers & configuration gates are a great solution to give your baby safe & out of danger in the home. Order today & get next day delivery in Ireland,160,https://www.inhealth.ie/room-dividers-configuration-gates/,Room Dividers & Configuration Gates,"Baby room divider, Configurable Baby Gate, Baby Fence, Baby Fence Play Area"
1120,1031,Magnetic Locks - Best Seller,FALSE,FALSE,FALSE,[],0,[],0,FALSE,FALSE,0,FALSE,FALSE,0,0,1,1,[],[],,0,,0,https://www.inhealth.ie/magnetic-locks-best-seller/,,
1121,1034,Feeding & Weaning,TRUE,TRUE,FALSE,[],0,[],0,TRUE,TRUE,1,FALSE,FALSE,0,0,92,62,"[{""Banner Id"":258,""301 URLs"":[]}]","[{""Banner Id"":258,""404 URLs"":[]}]",Baby Weaning Products: Find The Best Products For Your Baby,59,"Buy baby weaning products to make the weaning process as smooth as possible for you & baby. We stock top brands including Beaba, Dreambaby & Haakaa. Get fast-dispatch from our Irish-based warehouse!",198,https://www.inhealth.ie/feeding-weaning/,Feeding & Weaning,Feeding & Weaning
1123,1042,Post Pregnancy,TRUE,TRUE,TRUE,"[""https://www.inhealth.ie/carriwell-hospital-panties-5-pack-disposable/"",""https://www.inhealth.ie/haakaa-silicone-breast-pump-150ml-with-lid/""]",2,[],0,TRUE,FALSE,0,FALSE,FALSE,0,0,39,31,[],[],Post Pregnancy Products : Shop Postnatal Products Today,55,Discover our range of post pregnancy products by leading brands. Order your post natal products and get next day delivery direct from our warehouse in Ireland,158,https://www.inhealth.ie/post-pregnancy/,Post Pregnancy,"post pregnancy product, postnatal products"
1131,1031,Edge Cushion Protectors,TRUE,TRUE,FALSE,[],0,[],0,TRUE,TRUE,1,TRUE,FALSE,1,0,11,9,"[{""Banner Id"":275,""301 URLs"":[""https://www.inhealth.ie/clevamama-multi-purpose-edge-guard/""]}]","[{""Banner Id"":275,""404 URLs"":[]}]",Corner Protector : Edge Protection & Table Corner Protectors,60,Baby proof your home with our range corner protector and edge protection products. Order your table corner protectors today and get next day delivery in Ireland,160,https://www.inhealth.ie/edge-cushion-protectors/,Edge Cushion Protectors,Edge Cushion Protectors
1142,1031,Door Safety,TRUE,TRUE,FALSE,[],0,[],0,TRUE,TRUE,1,FALSE,FALSE,0,0,6,6,"[{""Banner Id"":278,""301 URLs"":[]}]","[{""Banner Id"":278,""404 URLs"":[]}]",Child Door Safety : Quality Baby Door Safety Products,53,Shop our range of quality certified child door safety products. Order your approved baby door safety products today and direct from our warehouse in Ireland,156,https://www.inhealth.ie/door-safety/,Door Safety,Door Safety
1157,1047,Haakaa Breast Pumps & Accessories,TRUE,TRUE,FALSE,[],0,[],0,TRUE,TRUE,1,TRUE,FALSE,2,0,33,28,"[{""Banner Id"":227,""301 URLs"":[""https://www.inhealth.ie/haakaa-silicone-breast-pump-150ml-with-flower-stopper-1/"",""https://www.inhealth.ie/haakaa-silicone-breastpump-100ml-with-lid/""]}]","[{""Banner Id"":227,""404 URLs"":[]}]",Buy Haakaa Breast Pumps & Accessories Online From Ireland,57,Buy your Haakaa breast pump from Inhealth and get same working day dispatch from our warehouse in Ireland when you order before 2pm. Order yours now!,149,https://www.inhealth.ie/haakaa-breast-pumps-accessories/,Haakaa Breast Pumps & Accessories,Haakaa Breast Pumps & Accessories
1159,1031,Kitchen Safety,TRUE,TRUE,FALSE,[],0,[],0,TRUE,TRUE,1,TRUE,FALSE,1,0,34,22,"[{""Banner Id"":269,""301 URLs"":[""https://www.inhealth.ie/dreambaby-cupboard-latches/""]}]","[{""Banner Id"":269,""404 URLs"":[]}]",Shop Our Range Baby Proof Kitchen Locks and Guards,50,"Sharp objects, toxic cleaning chemical, hot surfaces and boiling liquids make the kitchen potentially the most dangerous place for children in the home.",152,https://www.inhealth.ie/kitchen-safety/,Kitchen Safety,Kitchen Safety
1161,1034,Car Seats & Pushchairs,TRUE,TRUE,FALSE,[],0,[],0,TRUE,TRUE,1,FALSE,FALSE,0,0,10,6,"[{""Banner Id"":256,""301 URLs"":[]}]","[{""Banner Id"":256,""404 URLs"":[]}]",Pushchairs & Car Seats: Travel Safe & Easy On Road Or Foot,58,Our range includes safe and reliable car seats & pushchairs from top brands suitable for newborns up to 12 years old. Order by 2pm and enjoy same day dispatch!,159,https://www.inhealth.ie/car-seats-pushchairs/,Car Seats & Pushchairs,Car Seats & Pushchairs
1168,1031,Furniture & TV Safety Straps,TRUE,TRUE,FALSE,[],0,[],0,TRUE,TRUE,1,FALSE,FALSE,0,0,4,3,"[{""Banner Id"":276,""301 URLs"":[]}]","[{""Banner Id"":276,""404 URLs"":[]}]",Furniture Straps : Secure Your TV with Approved TV Straps,57,Install furniture straps and tv straps to avoid potentially lethal accidents to your child in the home. Place your order today for next day delivery in Ireland,159,https://www.inhealth.ie/furniture-tv-safety-straps/,Furniture & TV Safety Straps,Furniture & TV Safety Straps
1170,1031,Bathroom Safety 1,FALSE,FALSE,FALSE,[],0,[],0,FALSE,FALSE,0,FALSE,FALSE,0,0,1,1,[],[],,0,,0,https://www.inhealth.ie/bathroom-safety-1/,,
1175,971,Nebulizers,TRUE,TRUE,FALSE,[],0,[],0,TRUE,TRUE,1,FALSE,FALSE,0,0,2,1,"[{""Banner Id"":247,""301 URLs"":[]}]","[{""Banner Id"":247,""404 URLs"":[]}]",Nebulizers: Shop Our Range Designed Specifically For Children,61,Our selection of nebulizers assist with a number of respiritory conditions and are compatible with a range of medicines. Order before 2pm for next day delivery! ,161,https://www.inhealth.ie/nebulizers/,,Nebulizers 
1182,971,Cholesterol & Glucose Monitors,TRUE,TRUE,FALSE,[],0,[],0,TRUE,TRUE,1,TRUE,FALSE,1,0,3,3,"[{""Banner Id"":237,""301 URLs"":[""https://www.inhealth.ie/easy-touch-blood-glucose-cholesterol-monitoring/""]}]","[{""Banner Id"":237,""404 URLs"":[]}]",Buy Glucometer: Shop Glucose Monitors & Cholesterol Test Kits,61,A Glucose Meter and Cholesterol Test Kits measure the concentration of Glucose and Cholesterol in the blood. Our easy to use home Glucose Monitors and Cholesterols Monitors are a great health check from the comfort of your home. ,229,https://www.inhealth.ie/cholesterol-glucose-monitors/,,
1192,966,Fertility Vitamins & Supplements,TRUE,TRUE,FALSE,[],0,[],0,TRUE,TRUE,1,FALSE,FALSE,0,0,34,22,"[{""Banner Id"":203,""301 URLs"":[]}]","[{""Banner Id"":203,""404 URLs"":[]}]",Fertility Vitamins & Supplements: Boost Male & Female Fertility,63,Make sure that you have the best chance of conceiving with our wide selection of fertility vitamins and supplements to boost male and female fertility,150,https://www.inhealth.ie/boosting-vitamins-supplements/,Boosting Vitamins & Supplements,Boosting Vitamins & Supplements
