product_id,videos,name,sku,url
743,0,Nioxin Scalp Treatment 5 - 100ml,100122,https://www.beautyfeatures.ie/nioxin-scalp-treatment-5-100ml/
746,0,Nioxin Scalp Treatment 6 - 100ml,100125,https://www.beautyfeatures.ie/nioxin-scalp-treatment-6-100ml/
829,0,Burt's bees - Tinted Lip Balm - Rose,43170,https://www.beautyfeatures.ie/burts-bees-tinted-lip-balm-rose/
880,0,Decleor Aroma Cleanse 3in1 Hydra-Radiance Smoothing & Cleansing Mousse 100ml,42963,https://www.beautyfeatures.ie/decleor-aroma-cleanse-3in1-hydra-radiance-smoothing-cleansing-mousse-100ml/
886,0,Decleor Soothing Micellar Water 200ml,100043,https://www.beautyfeatures.ie/decleor-soothing-micellar-water-200ml/
931,1,Moroccanoil - Curl Defining Cream 250ml,MOR_MO0053,https://www.beautyfeatures.ie/moroccanoil-curl-defining-cream-250ml/
934,2,Moroccanoil - Curl Control Mousse 150ml,MOR_MO0054,https://www.beautyfeatures.ie/moroccanoil-curl-control-mousse-150ml/
1002,0,Decleor Soothing Micellar Water 400ml,100044,https://www.beautyfeatures.ie/decleor-soothing-micellar-water-400ml/
1006,0,Decleor Mousse Nettoyante Neroli Bigarade Cleansing Mousse 200ml,100045,https://www.beautyfeatures.ie/decleor-mousse-nettoyante-neroli-bigarade-cleansing-mousse-200ml/
1058,0,Redken - Curvaceous Conditioner 250ml,REDK_CCOND.,https://www.beautyfeatures.ie/redken-curvaceous-conditioner-250ml/
1059,0,Redken - Curvaceous Full Swirl 150ml,REDK_CSWIRL,https://www.beautyfeatures.ie/redken-curvaceous-full-swirl-150ml/
1060,0,Redken - Curvaceous Lightweight Cleanser 300ml,REDK_CSHAM.,https://www.beautyfeatures.ie/redken-curvaceous-lightweight-cleanser-300ml/
1061,0,Redken - Curvaceous Ringlet 180ml,REDK_CRINGLET,https://www.beautyfeatures.ie/redken-curvaceous-ringlet-180ml/
1087,0,GLAMGLOW Tingling Exfoliating Mud Mask 50g,GLAM_GGMMVS50,https://www.beautyfeatures.ie/glamglow-tingling-exfoliating-mud-mask-50g/
1136,0,Moroccanoil Dry Scalp Treatment - 45ml,MOR_MO0075,https://www.beautyfeatures.ie/moroccanoil-dry-scalp-treatment-45ml/
1137,0,Moroccanoil Oily Scalp Treatment - 45ml,MOR_MO0077,https://www.beautyfeatures.ie/moroccanoil-oily-scalp-treatment-45ml/
1138,0,Moroccanoil Clarifying Shampoo 250ml,MOR_MO0079,https://www.beautyfeatures.ie/moroccanoil-clarifying-shampoo-250ml/
1141,1,Clarins - Double Serum 30ml,CLA_106910,https://www.beautyfeatures.ie/clarins-double-serum-30ml/
1142,0,Decleor Face Essential Cleansing Salon Size Duo,100047,https://www.beautyfeatures.ie/decleor-face-essential-cleansing-salon-size-duo/
1143,0,Decleor Rich Day Cream Neroli Bigarade 50ml,100048,https://www.beautyfeatures.ie/decleor-rich-day-cream-neroli-bigarade-50ml/
1144,0,Decleor - Light Day Cream Neroli Bigarade - 50ml,100049,https://www.beautyfeatures.ie/decleor-light-day-cream-neroli-bigarade-50ml/
1145,0,Decleor Hydra Floral Fresh Skin Hydrating Light Cream 30ml,100050,https://www.beautyfeatures.ie/decleor-hydra-floral-fresh-skin-hydrating-light-cream-30ml/
1147,0,Decleor BB Creme SPF15 Neroli Bigarade 40ml,100051,https://www.beautyfeatures.ie/decleor-bb-creme-spf15-neroli-bigarade-40ml/
1244,1,Nioxin Diaboost Thickening Xtrafusion Treatment 100ml,100126,https://www.beautyfeatures.ie/nioxin-diaboost-thickening-xtrafusion-treatment-100ml/
1297,0,REN - Invisible Pores Detox Mask 50ml,41042,https://www.beautyfeatures.ie/ren-invisible-pores-detox-mask-50ml/
1298,0,REN - EverCalm Cleansing Milk 150ml,41043,https://www.beautyfeatures.ie/ren-evercalm-cleansing-milk-150ml/
1300,0,REN - Gentle Exfoliating Cleanser 100ml,100086,https://www.beautyfeatures.ie/ren-gentle-exfoliating-cleanser-100ml/
1301,0,REN - EverCalm Global Protection Day Cream 50ml,100087,https://www.beautyfeatures.ie/ren-evercalm-global-protection-day-cream-50ml/
1304,0,REN - Ultra Moisture Day Cream 50ml,41050,https://www.beautyfeatures.ie/ren-ultra-moisture-day-cream-50ml/
1307,0,REN - V-Cense Revitalising Night Cream 50ml,100088,https://www.beautyfeatures.ie/ren-v-cense-revitalising-night-cream-50ml/
1309,0,REN - Active 7 Radiant Eye Gel 15ml,41056,https://www.beautyfeatures.ie/ren-active-7-Radiant-eye-gel-15ml/
1312,0,REN - Bio Retinoid Anti-Ageing Cream 30ml,100090,https://www.beautyfeatures.ie/ren-bio-retinoid-anti-ageing-cream-50ml/
1313,0,REN - Keep Young and Beautiful SH2C Serum 30ml,41058,https://www.beautyfeatures.ie/ren-keep-young-and-beautiful-sh2c-serum-30ml/
1314,0,REN - Keep Young & Beautiful Anti-Ageing Eye Cream,41059,https://www.beautyfeatures.ie/ren-keep-young-beautiful-anti-ageing-eye-cream/
1315,0,REN - Clearcalm 3 Clarifying Clay Cleanser 150ml,41060,https://www.beautyfeatures.ie/ren-clearcalm-3-clarifying-clay-cleanser-150ml/
1316,0,Ren - Clearcalm 3 Replenishing Gel Cream,100091,https://www.beautyfeatures.ie/ren-clearcalm-3-replenishing-gel-cream/
1320,0,REN - Glycolactic Radiance Renewal Mask 50ml,41065,https://www.beautyfeatures.ie/ren-glycolactic-radiance-renewal-mask-50ml/
1328,0,REN - Moroccan Rose Otto Bath Oil 110ml,41073,https://www.beautyfeatures.ie/ren-moroccan-rose-otto-bath-oil-110ml/
1430,1,Moroccanoil - Hydrating Shampoo 250ml,MOR_MO0094,https://www.beautyfeatures.ie/moroccanoil-hydrating-shampoo-250ml/
1431,1,Moroccanoil - Hydrating Conditioner 250ml,MOR_MO0096,https://www.beautyfeatures.ie/moroccanoil-hydrating-conditioner-250ml/
1487,0,Sheercover Studio - Mineral Foundation 4g,,https://www.beautyfeatures.ie/sheercover-studio-mineral-foundation-4g/
1488,0,Sheercover Studio - Deluxe Kit,,https://www.beautyfeatures.ie/sheercover-studio-deluxe-kit/
1489,1,Nioxin Cleanser 1 - 1000ml (Shampoo),100128,https://www.beautyfeatures.ie/nioxin-cleanser-1-1000ml-shampoo/
1490,0,Nioxin Cleanser 2 - 1000ml (Shampoo),100129,https://www.beautyfeatures.ie/nioxin-cleanser-2-1000ml-shampoo/
1491,0,Nioxin Cleanser 3 - 1000ml (Shampoo),100130,https://www.beautyfeatures.ie/nioxin-cleanser-3-1000ml-shampoo/
1492,0,Nioxin Cleanser 4 - 1000ml (Shampoo),100131,https://www.beautyfeatures.ie/nioxin-cleanser-4-1000ml-shampoo/
1493,0,Nioxin Cleanser 5 - 1000ml (Shampoo),100132,https://www.beautyfeatures.ie/nioxin-cleanser-5-1000ml-shampoo/
1494,0,Nioxin - Scalp Revitaliser 1 - 1000ml (Conditioner),100133,https://www.beautyfeatures.ie/nioxin-scalp-revitaliser-1-1000ml-conditioner/
1495,1,Nioxin - Scalp Revitaliser 2 - 1000ml (Conditioner),100134,https://www.beautyfeatures.ie/nioxin-scalp-revitaliser-2-1000ml-conditioner/
1496,0,Nioxin - Scalp Revitaliser 3 - 1000ml (Conditioner),100135,https://www.beautyfeatures.ie/nioxin-scalp-revitaliser-3-1000ml-conditioner/
1497,0,Nioxin - Scalp Revitaliser 4 - 1000ml (Conditioner),100136,https://www.beautyfeatures.ie/nioxin-scalp-revitaliser-4-1000ml-conditioner/
1498,0,Nioxin - Scalp Revitaliser 5 - 1000ml (Conditioner),100137,https://www.beautyfeatures.ie/nioxin-scalp-revitaliser-5-1000ml-conditioner/
1500,0,Nioxin Cleanser 6 - 1000ml (Shampoo),100139,https://www.beautyfeatures.ie/nioxin-cleanser-6-1000ml-shampoo/
1534,1,Moroccanoil Hydrating Shampoo & Conditioner 500ml,MOR_MO0098,https://www.beautyfeatures.ie/moroccanoil-hydrating-shampoo-and-conditioner-500ml/
1535,1,Moroccanoil Molding Cream 100ml,MOR_MOULDINGCREAM,https://www.beautyfeatures.ie/moroccanoil-molding-cream-100ml/
1545,0,Thalgo Collagen Cream 50ml,100149,https://www.beautyfeatures.ie/thalgo-collagen-cream-50ml/
1548,0,Thalgo Collagen Eye Roll-On 15ml,100151,https://www.beautyfeatures.ie/thalgo-collagen-eye-roll-on-15ml/
1549,0,Thalgo Hyaluronic Cream 50ml,100152,https://www.beautyfeatures.ie/thalgo-hyaluronic-cream-50ml/
